"Name";"Time";"Q@KFZ";
"8051_101_Nord";"14.01.2018 00:00:00";448;33334
"8051_101_Süd";"14.01.2018 00:00:00";588;6667
"8055_108_Nord_bis20210121";"14.01.2018 00:00:00";306;8334
"8055_108_Süd_bis20210121";"14.01.2018 00:00:00";334;8334
"8010_205";"15.01.2018 00:00:00";451;8334
"8010_209";"15.01.2018 00:00:00";428;0
"8010_214";"15.01.2018 00:00:00";421;58334
"8010_202_Nord";"15.01.2018 00:00:00";0;0
"8010_205_Ost";"15.01.2018 00:00:00";229;16667
"8010_205_West";"15.01.2018 00:00:00";221;91667
"8010_209_Ost";"15.01.2018 00:00:00";214;0
"8010_209_West";"15.01.2018 00:00:00";214;0
"8010_213_Ost";"15.01.2018 00:00:00";405;33334
"8010_214_Nord";"15.01.2018 00:00:00";201;70833
"8010_214_Süd";"15.01.2018 00:00:00";219;875
"8020_102";"15.01.2018 00:00:00";875;8375
"8020_103";"15.01.2018 00:00:00";1131;588
"8020_107";"15.01.2018 00:00:00";554;25183
"8020_102_Nord";"15.01.2018 00:00:00";454;12732
"8020_102_Süd";"15.01.2018 00:00:00";421;71017
"8020_103_Nord";"15.01.2018 00:00:00";597;9185
"8020_103_Süd";"15.01.2018 00:00:00";533;66943
"8020_107_Nord";"15.01.2018 00:00:00";321;838
"8020_107_Süd";"15.01.2018 00:00:00";233;16806
"8041_218";"15.01.2018 00:00:00";256;33334
"8041_221";"15.01.2018 00:00:00";595;5417
"8041_218_Nord";"15.01.2018 00:00:00";-1;0
"8041_218_Süd";"15.01.2018 00:00:00";-1;0
"8041_221_Ost";"15.01.2018 00:00:00";271;70834
"8041_221_West";"15.01.2018 00:00:00";323;83334
"8045_203";"15.01.2018 00:00:00";470;83334
"8045_203_Nord";"15.01.2018 00:00:00";233;29167
"8045_203_Süd";"15.01.2018 00:00:00";237;54167
"8051_101";"15.01.2018 00:00:00";736;125
"8051_101_Nord";"15.01.2018 00:00:00";354;125
"8051_101_Süd";"15.01.2018 00:00:00";382;0
"8055_108_Nord_bis20210121";"15.01.2018 00:00:00";221;67769
"8055_108_Süd_bis20210121";"15.01.2018 00:00:00";230;30269
"8010_205";"16.01.2018 00:00:00";918;2917
"8010_209";"16.01.2018 00:00:00";728;375
"8010_214";"16.01.2018 00:00:00";845;5
"8010_202_Nord";"16.01.2018 00:00:00";0;0
"8010_205_Ost";"16.01.2018 00:00:00";440;58334
"8010_205_West";"16.01.2018 00:00:00";477;70834
"8010_209_Ost";"16.01.2018 00:00:00";355;375
"8010_209_West";"16.01.2018 00:00:00";373;0
"8010_213_Ost";"16.01.2018 00:00:00";689;9167
"8010_214_Nord";"16.01.2018 00:00:00";390;70834
"8010_214_Süd";"16.01.2018 00:00:00";454;79166
"8020_102";"16.01.2018 00:00:00";1413;4176
"8020_103";"16.01.2018 00:00:00";1613;8329
"8020_107";"16.01.2018 00:00:00";1051;624
"8020_102_Nord";"16.01.2018 00:00:00";710;2935
"8020_102_Süd";"16.01.2018 00:00:00";703;1241
"8020_103_Nord";"16.01.2018 00:00:00";834;421
"8020_103_Süd";"16.01.2018 00:00:00";779;7907
"8020_107_Nord";"16.01.2018 00:00:00";574;5
"8020_107_Süd";"16.01.2018 00:00:00";477;12408
"8041_218";"16.01.2018 00:00:00";508;375
"8041_221";"16.01.2018 00:00:00";1404;25
"8041_218_Nord";"16.01.2018 00:00:00";-1;0
